node,neigh,neicount,bunbo,ave,senderfreq,bunsan,stdhensa,hendoukeisu,max,min,max-min,seiki,force,0-1hantei,ave-hantei,bunsan-hanteo,hendoukeisuu-hantei,seiki+hendoukeisuu
1,0,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
2,0,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
1,2,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
5,2,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
4,2,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
6,2,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
2,1,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
4,1,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
3,1,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
5,1,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
4,5,3,3,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
2,5,3,3,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
6,5,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
9,5,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
1,5,3,3,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
8,5,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
10,5,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
5,6,3,3,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
10,6,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
2,6,4,4,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
9,6,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
7,8,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
4,8,4,4,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
9,8,3,3,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
12,8,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
5,8,4,4,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
3,8,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
11,8,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
13,8,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
3,7,3,3,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
8,7,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
11,7,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
4,7,5,5,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
12,7,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
3,4,4,4,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
1,4,4,4,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
5,4,5,5,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
8,4,3,3,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
2,4,5,5,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
